"","depth","fit","SD"
"1",1691.0304,39.2928487672,0.103772459837309
"2",1691.1828,39.2727301981169,0.123891028920433
"3",1691.3352,39.2525702338022,0.144050993235147
"4",1691.4876,39.2323788777785,0.164242349258856
"5",1691.64,39.2121661335684,0.184455093468941
"6",1691.7924,39.1919420046946,0.136528244884936
"7",1691.9448,39.1717164946797,0.0886027774420413
"8",1692.0972,39.1514996070463,0.108819665075416
"9",1692.2496,39.1313013453171,0.129017926804607
"10",1692.402,39.1111317130147,0.149187559107006
"11",1692.5544,39.0910007136618,0.0334881724844323
"12",1692.7068,39.0709183507808,0.0535705353653526
"13",1692.8592,39.0508946278946,0.0735942582515676
"14",1693.0116,39.0309395485257,0.0935493376204661
"15",1693.164,39.0110631161968,0.113425769949416
"16",1693.3164,38.9912753344304,0.00214689682430702
"17",1693.4688,38.9715862067493,0.01754223085684
"18",1693.6212,38.952005736676,0.0371227009301336
"19",1693.7736,38.9325439277332,0.0565845098729554
"20",1693.926,38.9132107834435,0.0759176541626658
"21",1694.0784,38.8940163073295,0.039780006687991
"22",1694.2308,38.8749705029139,0.0207342022723935
"23",1694.3832,38.8559536370891,0.00171733644755534
"24",1694.5356,38.8368477912352,0.0173885094063522
"25",1694.688,38.8176656906065,0.036570610035028
"26",1694.8404,38.7984200604573,0.0558162401842068
"27",1694.9928,38.7791236260419,0.0593127710245582
"28",1695.1452,38.7597891126147,0.039978257597312
"29",1695.2976,38.7404292454298,0.0206183904124728
"30",1695.45,38.7210567497417,0.00124589472432035
"31",1695.6024,38.7016843508045,0.0181265042128373
"32",1695.7548,38.6823247738727,0.0964742877683236
"33",1695.9072,38.6629907442004,0.0771402580960441
"34",1696.0596,38.643694987042,0.0578445009376409
"35",1696.212,38.6244502276518,0.0385997415474151
"36",1696.3644,38.605269191284,0.0194187051796604
"37",1696.5168,38.586164603193,0.0670625677112255
"38",1696.6692,38.5671491886331,0.11479560377385
"39",1696.8216,38.5482356728585,0.0958820879992786
"40",1696.974,38.5294367811236,0.0770831962643683
"41",1697.1264,38.5107652386826,0.0584116538233843
"42",1697.2788,38.4922337707899,0.0398801859306559
"43",1697.4312,38.4738551026997,0.0880190363672284
"44",1697.5836,38.4554128829008,0.136094335095038
"45",1697.736,38.4367081128931,0.117389565087336
"46",1697.8884,38.4177795474479,0.0984609996421639
"47",1698.0408,38.3986659413365,0.0793473935307816
"48",1698.1932,38.3794060493302,0.0932311942221133
"49",1698.3456,38.3600386262002,0.107007463789778
"50",1698.498,38.3406024267178,0.120714957005049
"51",1698.6504,38.3211362056543,0.134392428639174
"52",1698.8028,38.3016787177809,0.114934940765785
"53",1698.9552,38.2822687178689,0.0955249408537995
"54",1699.1076,38.2629449606896,0.102624403060091
"55",1699.26,38.2437462010142,0.10984886277032
"56",1699.4124,38.224711193614,0.117237074755749
"57",1699.5648,38.2058786932603,0.124827793787659
"58",1699.7172,38.1872874547244,0.132659774637318
"59",1699.8696,38.1689762327775,0.126822583753878
"60",1700.022,38.1509837821908,0.121304164230722
"61",1700.1744,38.1333488577357,0.11614327083911
"62",1700.3268,38.1161102141834,0.111378658350311
"63",1700.4792,38.0993066063052,0.107049081535628
"64",1700.6316,38.0829767888723,0.103193295166264
"65",1700.784,38.0669193413142,0.0996098786715791
"66",1700.9364,38.0509192983926,0.0960838668135438
"67",1701.0888,38.0349950978781,0.0926336973624942
"68",1701.2412,38.0191651775408,0.0892778080886814
"69",1701.3936,38.003447975151,0.0860346367624558
"70",1701.546,37.9878619284792,0.0829226211541112
"71",1701.6984,37.9724254752955,0.0799601990339553
"72",1701.8508,37.9571570533704,0.0771658081722677
"73",1702.0032,37.942075100474,0.0745578863393632
"74",1702.1556,37.9271980543766,0.0721548713055498
"75",1702.308,37.9125443528487,0.0699752008411281
"76",1702.4604,37.8981324336605,0.0680373127164131
"77",1702.6128,37.8839807345823,0.0663596447016914
"78",1702.7652,37.8701076933844,0.0649606345672638
"79",1702.9176,37.8565317478371,0.0638587200834522
"80",1703.07,37.8432713357107,0.0630723390205574
"81",1703.2224,37.8303448947755,0.062619929148866
"82",1703.3748,37.8177708628018,0.062519928238693
"83",1703.5272,37.80556767756,0.0627907740603462
"84",1703.6796,37.7937537768202,0.0634509043841121
"85",1703.832,37.7823475983529,0.0645187569803056
"86",1703.9844,37.7712396998467,0.0658848895376281
"87",1704.1368,37.7603097492303,0.0674289699847179
"88",1704.2892,37.7495598496339,0.0691531014518176
"89",1704.4416,37.7389921041878,0.0710593870691412
"90",1704.594,37.728608616022,0.0731499299669238
"91",1704.74639999999,37.718411488267,0.0754268332754009
"92",1704.89879999999,37.7084028240529,0.0778922001247935
"93",1705.05119999999,37.69858472651,0.0805481336453298
"94",1705.20359999999,37.6889592987684,0.0833967369672379
"95",1705.35599999999,37.6795286439584,0.0864401132207604
"96",1705.50839999999,37.6702948652102,0.0896803655361182
"97",1705.66079999999,37.6612600656542,0.0931195970435326
"98",1705.81319999999,37.6524263484204,0.0967599108732458
"99",1705.96559999999,37.6437958166391,0.100603410155465
"100",1706.11799999999,37.6353705734406,0.104652198020453
"101",1706.27039999999,37.627152721955,0.096434346534906
"102",1706.42279999999,37.6191443653127,0.0884259898925848
"103",1706.57519999999,37.6113476066438,0.0806292312236963
"104",1706.72759999999,37.6037645490786,0.0730461736584758
"105",1706.87999999999,37.5963972957473,0.0656789203271515
"106",1707.03239999999,37.5892479497801,0.0585295743599517
"107",1707.18479999999,37.5823186143072,0.0516002388871044
"108",1707.33719999999,37.5755686516681,0.0448502762479208
