"","depth","fit","SD"
"1",1691.0304,35.5317031239157,0.0977886594022763
"2",1691.1828,35.5008710561917,0.128620727126311
"3",1691.3352,35.4700744953083,0.0361486108627673
"4",1691.4876,35.43935981475,0.0668632914210079
"5",1691.64,35.4087733880014,0.0974497181696279
"6",1691.7924,35.3783615885469,0.00501931770173769
"7",1691.9448,35.3481707898709,0.0352101163777263
"8",1692.0972,35.3182473654579,0.0651335407906899
"9",1692.2496,35.2886376887925,0.0276739807409001
"10",1692.402,35.259388133359,0.00157557469259473
"11",1692.5544,35.2302019890986,0.0307617189529239
"12",1692.7068,35.2008023715763,0.0618323303906863
"13",1692.8592,35.1712653927118,0.0322953515261943
"14",1693.0116,35.1416671644251,0.00269712323949278
"15",1693.164,35.112083798636,0.0268862425495584
"16",1693.3164,35.0825914072646,0.0651929669209181
"17",1693.4688,35.0532661022306,0.0358676618869112
"18",1693.6212,35.024183995454,0.00678555511029089
"19",1693.7736,34.9954211988546,0.0991737535663475
"20",1693.926,34.9670538243524,0.0708063790641589
"21",1694.0784,34.9385149040002,0.0422674587119403
"22",1694.2308,34.9093445283625,0.0130970830742925
"23",1694.3832,34.879779397127,0.104263796293168
"24",1694.5356,34.8500562099813,0.0745406091474194
"25",1694.688,34.8204116666128,0.0448960657789783
"26",1694.8404,34.7910824667093,0.0155668658754422
"27",1694.9928,34.7623053099583,0.107103853128663
"28",1695.1452,34.7343168960473,0.079115439217702
"29",1695.2976,34.707353924664,0.0521524678343823
"30",1695.45,34.6816530954959,0.0264516386663232
"31",1695.6024,34.6567596153361,0.00155815850647656
"32",1695.7548,34.6321353818546,0.0968318137128819
"33",1695.9072,34.6078921310547,0.0725885629130616
"34",1696.0596,34.5841415989399,0.0488380307982368
"35",1696.212,34.5609955215134,0.0256919533717337
"36",1696.3644,34.5385656347786,0.00326206663688566
"37",1696.5168,34.5169636747387,0.101143180102596
"38",1696.6692,34.4963013773972,0.0804808827610444
"39",1696.8216,34.4766904787572,0.0608699841211333
"40",1696.974,34.4579326741413,0.042112179505196
"41",1697.1264,34.4397585281462,0.0239380335101274
"42",1697.2788,34.4221730806871,0.00635258605098699
"43",1697.4312,34.405181371679,0.0106391229570733
"44",1697.5836,34.3887884410371,0.0920376398757412
"45",1697.736,34.3729993286765,0.0762485275151263
"46",1697.8884,34.3578190745123,0.0610682733508909
"47",1698.0408,34.3432527184595,0.0465019172981513
"48",1698.1932,34.3293053004334,0.0325544992720239
"49",1698.3456,34.315981860349,0.0192310591875966
"50",1698.498,34.3030728110056,0.00632200984416897
"51",1698.6504,34.2903931832179,0.00635761794354295
"52",1698.8028,34.2779849439241,0.0187658572372698
"53",1698.9552,34.2658900600627,0.0877970025314383
"54",1699.1076,34.2541504985718,0.0760574410405539
"55",1699.26,34.2428082263897,0.0647151688585055
"56",1699.4124,34.2319052104548,0.0538121529235696
"57",1699.5648,34.2214834177053,0.043390360174044
"58",1699.7172,34.2115848150794,0.0334917575481768
"59",1699.8696,34.2022513695155,0.0241583119842943
"60",1700.022,34.1933795647809,0.0152865072496411
"61",1700.1744,34.1848368982785,0.00674384074721246
"62",1700.3268,34.1766218574001,0.00147120013117075
"63",1700.4792,34.1687329295376,0.00936012799364505
"64",1700.6316,34.1611686020828,0.0169244554484109
"65",1700.784,34.1539273624276,0.0241656951036049
"66",1700.9364,34.1470076979638,0.0310853595674132
"67",1701.0888,34.1404080960833,0.0376849614479795
"68",1701.2412,34.1341270441778,0.04396601335349
"69",1701.3936,34.1281630296392,0.0683171911316407
"70",1701.546,34.1225461594278,0.0627003209203068
"71",1701.6984,34.1172922788824,0.0574464403748536
"72",1701.8508,34.112378482962,0.0525326444545016
"73",1702.0032,34.107781866626,0.0479360281184924
"74",1702.1556,34.1034795248335,0.0436336863260252
"75",1702.308,34.0994485525438,0.0396027140363344
"76",1702.4604,34.0956660447162,0.0358202062086406
"77",1702.6128,34.0921090963097,0.032263257802164
"78",1702.7652,34.0887548022836,0.0289089637761322
"79",1702.9176,34.0855261283297,0.0256802898222332
"80",1703.07,34.0823867797644,0.0225409412569064
"81",1703.2224,34.079374960984,0.0195291224764489
"82",1703.3748,34.0765288763847,0.0166830378772147
"83",1703.5272,34.073886730363,0.014040891855494
"84",1703.6796,34.0714867273151,0.0116408888076336
"85",1703.832,34.0693670716374,0.00952123312993081
"86",1703.9844,34.0675659677262,0.00772012921871834
"87",1704.1368,34.0661216199778,0.00627578147032182
"88",1704.2892,34.0650722327886,0.00522639428105265
"89",1704.4416,34.06424629311,0.0044004546024965
"90",1704.594,34.0634550173815,0.00360917887402223
"91",1704.74639999999,34.0627107042311,0.00286486572358058
"92",1704.89879999999,34.0620256522867,0.00217981377917198
"93",1705.05119999999,34.0614121601763,0.00156632166874715
"94",1705.20359999999,34.0608825265278,0.00103668802031365
"95",1705.35599999999,34.0604490499693,0.000603211461815079
"96",1705.50839999999,34.0601240291288,0.000278190621251895
"97",1705.66079999999,34.0599197626341,7.39241265819146e-05
"98",1705.81319999999,34.0598485491133,2.71060579137838e-06
"99",1705.96559999999,34.0598839887528,3.81502452597715e-05
"100",1706.11799999999,34.0599881845592,0.000142346051696052
"101",1706.27039999999,34.0601561893911,0.000310350883552246
"102",1706.42279999999,34.0603830561069,0.000537217599344331
"103",1706.57519999999,34.060663837565,0.000817999057488805
"104",1706.72759999999,34.060993586624,0.00114774811649454
"105",1706.87999999999,34.0613673561423,0.00152151763480646
"106",1707.03239999999,34.0617801989784,0.00193436047091211
"107",1707.18479999999,34.0622271679908,0.00238132948327774
